State,Action,Action wo Noise
[-0.58760377  0.         -0.58760377  0.         -0.58760377  0.        ],-0.98513997,-0.98513997
[-0.58860439 -0.00100062 -0.59059826 -0.00199387 -0.59357072 -0.00297246],-0.9946124,-0.9946124
[-0.59751415 -0.00394343 -0.60239967 -0.00488552 -0.60819159 -0.00579192],-0.9971669,-0.9971669
[-0.6148516  -0.00666001 -0.62233149 -0.00747988 -0.63057741 -0.00824592],-0.9968248,-0.9968248
[-0.63952993 -0.00895252 -0.64912562 -0.0095957  -0.6592972  -0.01017158],-0.9894141,-0.9894141
[-0.66996304 -0.01066584 -0.6810502  -0.01108716 -0.69248403 -0.01143382],-0.9126499,-0.9126499
[-0.70407369 -0.01158966 -0.71574393 -0.01167024 -0.72742055 -0.01167662],0.014994144,0.014994144
[-0.7376395  -0.01021896 -0.74633873 -0.00869923 -0.75346649 -0.00712776],0.98502207,0.98502207
[-0.75752614 -0.00405965 -0.75849431 -0.00096817 -0.75636545  0.00212885],0.9999609,0.9999609
[-0.75112937  0.00523609 -0.74281632  0.00831304 -0.73147519  0.01134114],0.9999993,0.9999993
[-0.71717409  0.0143011  -0.70000141  0.01717267 -0.68006662  0.0199348 ],1.0,1.0
[-0.65750093  0.02256568 -0.63245778  0.02504316 -0.60511261  0.02734516],1.0,1.0
[-0.57566217  0.02945044 -0.54432283  0.03133933 -0.51132817  0.03299466],1.0,1.0
[-0.47692552  0.03440265 -0.44137177  0.03555375 -0.40492849  0.03644328],1.0,1.0
[-0.36785655  0.03707194 -0.33041064  0.03744591 -0.29283389  0.03757676],1.0,1.0
[-0.25535289  0.03748099 -0.21817352  0.03717937 -0.1814775   0.03669602],1.0,1.0
[-0.14542003  0.03605747 -0.11012841  0.03529162 -0.07570158  0.03442683],1.0,1.0
[-0.04221055  0.03349102 -0.00969951  0.03251104  0.02181259  0.0315121 ],1.0,1.0
[0.05233004 0.03051745 0.08187823 0.02954819 0.11050147 0.02862324],1.0,1.0
[0.13826082 0.02775935 0.16523217 0.02697134 0.19150441 0.02627225],1.0,1.0
[0.21717802 0.02567361 0.24236374 0.02518572 0.26718168 0.02481794],1.0,1.0
[0.29176063 0.02457895 0.31623763 0.024477   0.3407578  0.02452017],1.0,1.0
[0.36547441 0.0247166  0.39054906 0.02507465 0.41615212 0.02560307],1.0,1.0
